TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,,,TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,,,TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,
January-December 2019,,,,,,,,,,,January-December 2019,,,,,,,,,,,January-December 2019,,,,,,,,,
Total,,,,,,,,,,,GROUP TOUR,,,,,,,,,,,Non GROUP TOUR,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Unit : Million Baht,,,,,,,,,,,Unit : Million Baht,,,,,,,,,,,Unit : Million Baht
Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-,,Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-,,Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-
of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous,,of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous,,of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous
East Asia,"1,125,223.49","326,755.17","95,553.62","43,724.38","297,764.48","225,943.77","95,953.73","22,057.00","17,471.34",,East Asia,"278,635.14","97,369.56","22,164.91","21,128.78","57,288.58","51,153.40","22,160.61","1,826.58","5,542.72",,East Asia,"846,588.35","229,385.61","73,388.71","22,595.60","240,475.90","174,790.37","73,793.12","20,230.42","11,928.62"
Asean,"342,370.64","110,421.75","22,866.57","8,030.32","86,859.13","68,252.62","26,904.40","14,667.44","4,368.41",,Asean,"53,064.22","17,447.36","4,364.98","2,649.58","12,446.54","9,941.09","4,483.60",760.95,970.12,,Asean,"289,306.42","92,974.39","18,501.59","5,380.74","74,412.59","58,311.53","22,420.80","13,906.49","3,398.29"
Brunei,945.13,320.83,61.26,23.17,260.53,180.98,71.31,11.00,16.05,,Brunei,119.44,41.63,14.77,6.11,24.87,19.70,10.37,0.00,1.99,,Brunei,825.69,279.20,46.49,17.06,235.66,161.28,60.94,11.00,14.06
Cambodia,"39,277.88","12,883.98","1,487.09",722.25,"7,403.81","7,136.00","3,021.43","6,285.81",337.51,,Cambodia,"2,753.26",932.34,265.95,127.22,513.85,508.90,232.68,132.12,40.20,,Cambodia,"36,524.62","11,951.64","1,221.14",595.03,"6,889.96","6,627.10","2,788.75","6,153.69",297.31
Indonesia,"18,333.62","5,609.68",749.66,621.23,"5,525.29","3,662.25","1,744.51",181.76,239.24,,Indonesia,"4,372.71","1,291.40",184.91,273.36,"1,150.95",882.58,471.25,39.10,79.16,,Indonesia,"13,960.91","4,318.28",564.75,347.87,"4,374.34","2,779.67","1,273.26",142.66,160.08
Laos,"58,035.54","21,324.45","3,080.20",855.05,"12,789.14","11,296.46","4,203.17","4,092.85",394.22,,Laos,"1,640.07",600.09,180.23,86.12,319.82,276.49,149.31,1.77,26.24,,Laos,"56,395.47","20,724.36","2,899.97",768.93,"12,469.32","11,019.97","4,053.86","4,091.08",367.98
Malaysia,"107,457.97","34,269.02","8,755.95","2,984.81","29,124.14","21,381.61","8,360.47","1,055.63","1,526.34",,Malaysia,"26,631.53","8,848.88","2,394.94","1,125.55","6,565.48","5,022.44","1,997.83",263.85,412.56,,Malaysia,"80,826.44","25,420.14","6,361.01","1,859.26","22,558.66","16,359.17","6,362.64",791.78,"1,113.78"
Myanmar,"15,106.83","5,264.89",663.53,245.62,"3,313.77","2,399.21","1,071.25","1,982.01",166.55,,Myanmar,"1,618.05",621.67,92.94,82.70,316.82,271.41,137.57,55.01,39.93,,Myanmar,"13,488.78","4,643.22",570.59,162.92,"2,996.95","2,127.80",933.68,"1,927.00",126.62
