Country,No. of Arrivals,Length of Stay,Per Capita Spending Baht,Per Capita Spending USD,Tourism Receipts Mil. Baht,Tourism Receipts Mil. USD,Country By GROUP TOUR,No. of Arrivals By GROUP TOUR,Length of Stay By GROUP TOUR,Per Capita Spending Baht By GROUP TOUR,Per Capita Spending USD By GROUP TOUR,Tourism Receipts Mil. Baht By GROUP TOUR,Tourism Receipts Mil. USD By GROUP TOUR,Country By NON GROUP TOUR,No. of Arrivals By NON GROUP TOUR,Length of Stay By NON GROUP TOUR,Per Capita Spending Baht By NON GROUP TOUR,Per Capita Spending USD By NON GROUP TOUR,Tourism Receipts Mil. Baht By NON GROUP TOUR,Tourism Receipts Mil. USD By NON GROUP TOUR,,,
East Asia,26225446,6.90,5907.36,182.83,1068971.87,33084.86,East Asia,7646367,5.48,6640.50,205.52,278250.25,8611.89,East Asia,18579079,7.49,5682.21,175.87,790721.62,24472.97,,,
Asean,10348768,5.65,5452.61,168.76,318816.91,9867.44,Asean,2230876,4.29,5499.47,170.21,52632.42,1628.98,Asean,8117892,6.03,5437.78,168.30,266184.49,8238.46,,,
Brunei,18460,6.67,6864.64,212.46,845.23,26.16,Brunei,2083,6.73,7232.54,223.85,101.39,3.14,Brunei,16377,6.66,6819.79,211.07,743.84,23.02,,,
Cambodia,950980,6.81,5668.88,175.45,36712.66,1136.26,Cambodia,46764,6.86,5861.95,181.43,1880.52,58.20,Cambodia,904216,6.81,5656.68,175.08,34832.14,1078.06,,,
Indonesia,644479,5.69,4736.38,146.59,17368.72,537.56,Indonesia,193016,4.40,5217.19,161.47,4430.81,137.13,Indonesia,451463,6.24,4592.60,142.14,12937.91,400.43,,,
Laos,1682304,5.56,5381.86,166.57,50339.81,1558.03,Laos,55899,4.43,6258.29,193.70,1549.76,47.97,Laos,1626405,5.60,5356.92,165.80,48790.05,1510.06,,,
Malaysia,4042998,4.84,5341.64,165.32,104525.81,3235.09,Malaysia,1340412,3.88,5668.55,175.44,29481.05,912.44,Malaysia,2702586,5.32,5219.51,161.54,75044.76,2322.65,,,
Myanmar,379880,6.71,5976.51,184.97,15234.09,471.50,Myanmar,47023,5.68,5508.38,170.49,1471.24,45.54,Myanmar,332857,6.85,6036.15,186.82,13762.85,425.96,,,
Philippines,407832,8.01,5076.34,157.11,16583.04,513.25,Philippines,84748,4.79,5543.17,171.56,2250.21,69.64,Philippines,323084,8.86,5007.07,154.97,14332.83,443.60,,,
Singapore,1168112,5.67,6363.42,196.95,42146.13,1304.43,Singapore,114441,5.18,6254.02,193.56,3707.41,114.74,Singapore,1053671,5.72,6377.76,197.39,38438.72,1189.68,,,
Vietnam,1053723,6.54,5087.74,157.47,35061.42,1085.16,Vietnam,346490,4.83,4636.87,143.51,7760.03,240.17,Vietnam,707233,7.37,5237.85,162.11,27301.39,844.98,,,
China,10625167,7.76,6334.22,196.05,522264.78,16164.18,China,4187112,6.07,7088.21,219.38,180152.35,5575.75,China,6438055,8.86,5997.65,185.63,342112.43,10588.44,,,
