Country,No. of Arrivals,Length of Stay,Per Capita Spending,USD,Tourism Receipts Mil. Baht,Tourism Receipts Mil. USD,Country By GROUP TOUR,No. of Arrivals By GROUP TOUR,Length of Stay By GROUP TOUR,Per Capita Spending Baht By GROUP TOUR,Per Capita Spending USD By GROUP TOUR,Tourism Receipts Mil. Baht By GROUP TOUR,Tourism Receipts Mil. USD By GROUP TOUR,Country By NON GROUP TOUR,No. of Arrivals By NON GROUP TOUR,Length of Stay By NON GROUP TOUR,m,Per Capita Spending USD By NON GROUP TOUR,Tourism Receipts Mil. Baht By NON GROUP TOUR,Tourism Receipts Mil. USD By NON GROUP TOUR
East Asia,27669963,7.08,"5,743.76",184.98,1125223.49,36239.08,East Asia,7936313,5.52,6360.30,204.84,278635.14,8973.76,East Asia,19733650,7.71,5564.30,179.2,846588.35,27265.33
Asean,10876922,5.9,"5,335.05",171.82,342370.64,11026.43,Asean,2280688,4.45,5228.49,168.39,53064.22,1708.99,Asean,8596234,6.28,5359.08,172.6,289306.42,9317.44
Brunei,19858,7.06,"6,741.42",217.11,945.13,30.44,Brunei,2503,6.81,7007.15,225.67,119.44,3.85,Brunei,17355,7.09,6710.37,216.11,825.69,26.59
Cambodia,925437,7.39,"5,743.24",184.97,39277.88,1264.99,Cambodia,60951,7.76,5821.09,187.47,2753.26,88.67,Cambodia,864486,7.36,5740.50,184.88,36524.62,1176.32
Indonesia,706908,5.68,"4,566.01",147.05,18333.62,590.45,Indonesia,207957,4.29,4901.41,157.86,4372.71,140.83,Indonesia,498951,6.26,4469.72,143.95,13960.91,449.63
Laos,1856762,5.68,"5,502.86",177.23,58035.54,1869.10,Laos,61689,4.24,6270.30,201.94,1640.07,52.82,Laos,1795073,5.73,5482.87,176.58,56395.47,1816.28
Malaysia,4274458,4.81,"5,226.50",168.33,107457.97,3460.80,Malaysia,1335412,3.75,5318.00,171.27,26631.53,857.70,Malaysia,2939046,5.29,5198.67,167.43,80826.44,2603.11
Myanmar,389301,6.73,"5,765.97",185.7,15106.83,486.53,Myanmar,52431,5.59,5520.67,177.8,1618.05,52.11,Myanmar,336870,6.91,5794.72,186.63,13488.78,434.42
Philippines,473565,8.74,"4,788.66",154.22,19820.08,638.33,Philippines,96501,4.92,5341.13,172.02,2535.89,81.67,Philippines,377064,9.72,4715.95,151.88,17284.19,556.66
Singapore,1150024,6.14,"6,185.74",199.22,43678.41,1406.71,Singapore,130702,5.86,5795.09,186.64,4438.53,142.95,Singapore,1019322,6.18,6229.14,200.62,39239.88,1263.76
Vietnam,1080609,7.59,"4,842.23",155.95,39715.18,1279.07,Vietnam,332542,5.86,4595.25,148,8954.74,288.40,Vietnam,748067,8.35,4924.54,158.6,30760.44,990.67
China,11138658,7.8,"6,118.41",197.05,531576.65,17120.02,China,4295075,6.03,6808.53,219.28,176336.51,5679.11,China,6843583,8.9,5832.42,187.84,355240.14,11440.91
Hong Kong,1090121,6.1,"6,462.46",208.13,42973.72,1384.02,Hong Kong,199378,5.57,6067.32,195.4,6737.96,217.00,Hong Kong,890743,6.22,6540.26,210.64,36235.76,1167.01
Japan,1787185,9.79,"5,358.70",172.58,93758.84,3019.61,Japan,284662,7.04,6642.89,213.94,13312.50,428.74,Japan,1502523,10.31,5193.10,167.25,80446.34,2590.86
Korea,1880465,7.2,"5,571.59",179.44,75435.78,2429.49,Korea,670918,5.1,6374.88,205.31,21812.87,702.51,Korea,1209547,8.36,5303.00,170.79,53622.91,1726.99
Taiwan,781674,8.24,"5,206.58",167.68,33535.47,1080.05,Taiwan,184277,6.01,5785.51,186.33,6407.48,206.36,Taiwan,597397,8.93,5085.14,163.77,27127.99,873.69
Others in East Asia,114938,7.23,"6,705.64",215.96,5572.39,179.47,Others in East Asia,21315,6.38,7085.83,228.21,963.60,31.03,Others in East Asia,93623,7.42,6634.40,213.67,4608.79,148.43
Europe,6531220,16.82,"4,084.87",131.56,448743.81,14452.30,Europe,1241742,12.71,4549.65,146.53,71805.04,2312.56,Europe,5289478,17.79,4005.73,129.01,376938.77,12139.73
Austria,110690,16.55,"4,297.82",138.42,7873.28,253.57,Austria,14102,14.45,4841.45,155.92,986.56,31.77,Austria,96588,16.86,4228.94,136.2,6886.72,221.79
Belgium,114016,16.8,"3,817.63",122.95,7312.50,235.51,Belgium,17033,13.52,4592.59,147.91,1057.61,34.06,Belgium,96983,17.37,3713.00,119.58,6254.89,201.45
Denmark,159526,17.04,"5,070.83",163.31,13784.14,443.93,Denmark,26970,13.9,5410.42,174.25,2028.28,65.32,Denmark,132556,17.68,5016.18,161.55,11755.86,378.61
Finland,125490,16.99,"4,623.84",148.92,9858.37,317.50,Finland,22892,12.46,5696.86,183.47,1624.94,52.33,Finland,102598,18,4458.30,143.58,8233.43,265.17
France,713405,17.26,"3,478.11",112.02,42827.24,1379.30,France,111432,13.61,4467.46,143.88,6775.29,218.21,France,601973,17.94,3338.32,107.51,36051.95,1161.09
Germany,836926,17.37,"3,588.64",115.58,52169.50,1680.18,Germany,101615,13.48,4434.24,142.81,6073.90,195.62,Germany,735311,17.9,3502.16,112.79,46095.60,1484.56
Italy,250870,15.09,"3,903.37",125.71,14776.71,475.90,Italy,36949,13.16,4547.04,146.44,2210.99,71.21,Italy,213921,15.43,3806.86,122.6,12565.72,404.69
Netherlands,230006,17.42,"4,066.18",130.96,16291.98,524.70,Netherlands,28154,14.27,5510.42,177.47,2213.85,71.30,Netherlands,201852,17.87,3902.90,125.7,14078.13,453.40
Norway,130509,17.4,"5,271.56",169.78,11970.93,385.54,Norway,16038,15.45,5772.12,185.9,1430.26,46.06,Norway,114471,17.68,5208.23,167.74,10540.67,339.47
Russia,1481837,16.94,"4,099.03",132.01,102895.03,3313.85,Russia,483859,12.24,3893.01,125.38,23056.09,742.55,Russia,997978,19.22,4162.36,134.05,79838.94,2571.30
Spain,186969,14.89,"4,016.39",129.35,11181.50,360.11,Spain,32578,12,4812.69,155,1881.46,60.59,Spain,154391,15.5,3886.27,125.16,9300.04,299.52
Sweden,279451,19.15,"4,442.05",143.06,23771.56,765.59,Sweden,30978,13.25,5393.13,173.69,2213.66,71.29,Sweden,248473,19.89,4362.06,140.49,21557.90,694.30
Switzerland,206087,17.23,"4,471.55",144.01,15877.93,511.37,Switzerland,21811,12.41,5648.19,181.91,1528.82,49.24,Switzerland,184276,17.8,4374.57,140.89,14349.11,462.13
United Kingdom,946774,17.83,"4,284.04",137.97,72318.73,2329.11,United Kingdom,115930,14.72,4806.43,154.8,8202.15,264.16,United Kingdom,830844,18.26,4226.20,136.11,64116.58,2064.95
East Europe,532911,14.09,"4,262.82",137.29,32008.29,1030.86,East Europe,134229,10.93,5385.55,173.45,7901.28,254.47,East Europe,398682,15.16,3988.56,128.46,24107.01,776.39
Others in Europe,225753,14.03,"4,365.25",140.59,13826.12,445.29,Others in Europe,47172,10.51,5284.42,170.19,2619.90,84.38,Others in Europe,178581,14.96,4194.62,135.09,11206.22,360.91
The Americas,1559800,14.46,"4,659.25",150.06,105087.99,3384.48,The Americas,179844,11.02,5463.24,175.95,10827.48,348.71,The Americas,1379956,14.91,4581.28,147.55,94260.51,3035.77
Argentina,28183,14.07,"4,537.29",146.13,1799.19,57.94,Argentina,4307,12.95,5453.44,175.63,304.17,9.80,Argentina,23876,14.27,4387.94,141.32,1495.02,48.15
Brazil,58970,12.49,"4,995.63",160.89,3679.45,118.50,Brazil,9234,10.15,6322.11,203.61,592.54,19.08,Brazil,49736,12.93,4800.15,154.59,3086.91,99.42
